Disease,description,medication,diet,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Grouped_Workout_Advice
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']",NA,NA,NA,NA,"Follow the DASH diet (Dietary Approaches to Stop Hypertension), Limit sodium intake, Include potassium-rich foods, Stay hydrated, Consume calcium-rich foods, Limit alcohol consumption, Include magnesium-rich foods, Consume omega-3 fatty acids, Limit processed foods, Consult a healthcare professional"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"Identify and avoid trigger foods, Stay hydrated, Include magnesium-rich foods, Consume omega-3 fatty acids, Limit caffeine and alcohol, Consume riboflavin-rich foods, Limit processed foods, Maintain regular meal times, Consult a healthcare professional, Manage stress"
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,"Include anti-inflammatory foods, Consume omega-3 fatty acids, Include vitamin D-rich foods, Stay hydrated, Consume antioxidant-rich foods, Limit processed foods, Include lean proteins, Practice good posture, Consult a healthcare professional, Engage in regular exercise"
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']",massage,eat healthy,exercise,consult doctor,"Follow a balanced and nutritious diet, Include lean proteins, Consume nutrient-rich foods, Stay hydrated, Include healthy fats, Limit sugary foods and beverages, Include antioxidants, Consume foods rich in vitamin K, Consult a healthcare professional, Manage stress"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,"Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume easily digestible foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']","['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,"Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume foods rich in antioxidants, Limit fatty and greasy foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']","['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,"Stay hydrated, Include easily digestible foods, Include vitamin C-rich foods, Consume protein-rich foods, Include zinc-rich foods, Avoid spicy and acidic foods, Consult a healthcare professional, Practice good hygiene, Rest and conserve energy, Gradually resume normal diet"
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']","['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Limit fatty and greasy foods, Avoid caffeine and alcohol, Include soft and easily digestible foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations"
Typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']","['Typhoid Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,"Consume easily digestible foods, Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Include protein-rich foods, Avoid fatty and greasy foods, Consult a healthcare professional, Gradually resume normal diet, Follow medical recommendations, Avoid alcohol and caffeine"
hepatitis A,hepatitis A is a viral liver disease.,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']","['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,"Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume easily digestible foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']","['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",consult nearest hospital,vaccination,eat healthy,medication,"Follow a balanced and nutritious diet, Stay hydrated, Include protein-rich foods, Consume nutrient-rich foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",Consult nearest hospital,vaccination,eat healthy,medication,"Follow a balanced and nutritious diet, Stay hydrated, Include protein-rich foods, Consume nutrient-rich foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",consult doctor,medication,eat healthy,follow up,"Follow a balanced and nutritious diet, Stay hydrated, Include protein-rich foods, Consume nutrient-rich foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",stop alcohol consumption,rest,consult doctor,medication,"Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume easily digestible foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']",stop alcohol consumption,consult doctor,medication,follow up,"Avoid alcohol consumption, Follow a balanced and nutritious diet, Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Limit fatty foods, Include antioxidants, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",cover mouth,consult doctor,medication,rest,"Consume a high-protein diet, Include nutrient-rich foods, Stay hydrated, Consume foods rich in vitamins A and C, Include zinc-rich foods, Limit sugary foods and beverages, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations"
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']","['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Include zinc-rich foods, Limit sugary foods and beverages, Consume chicken soup, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations"
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']","['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",consult doctor,medication,rest,follow up,"Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Include zinc-rich foods, Limit sugary foods and beverages, Consume chicken soup, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations"
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.,"['Nitroglycerin', 'Aspirin', 'Beta-blockers', 'Calcium channel blockers', 'Thrombolytic drugs']","['Hemorrhoids Diet', 'High-Fiber Diet', 'Hydration', 'Warm baths', 'Stool softeners']",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,"Consume high-fiber foods, Stay hydrated, Include nutrient-rich foods, Consume foods rich in flavonoids, Limit processed foods, Avoid spicy and greasy foods, Consult a healthcare professional, Practice good hygiene, Gradually resume normal diet, Follow medical recommendations"
Heart attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.,"['Compression stockings', 'Exercise', 'Elevating the legs', 'Sclerotherapy', 'Laser treatments']","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']",call ambulance,chew or swallow asprin,keep calm,NA,"Follow a heart-healthy diet, Limit sodium intake, Include fiber-rich foods, Consume healthy fats, Include lean proteins, Limit sugary foods and beverages, Stay hydrated, Consult a healthcare professional, Follow medical recommendations, Engage in regular exercise"
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs.","['Levothyroxine', 'Antithyroid medications', 'Beta-blockers', 'Radioactive iodine', 'Thyroid surgery']","['Varicose Veins Diet', 'High-Fiber Diet', 'Fruits and vegetables', 'Whole grains', 'Low-sodium foods']",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,"Consume a high-fiber diet, Stay hydrated, Include nutrient-rich foods, Consume foods rich in antioxidants, Limit sodium intake, Include flavonoid-rich foods, Avoid standing or sitting for long periods, Consult a healthcare professional, Follow medical recommendations, Engage in regular exercise"
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,"['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']","['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables', 'Whole grains']",reduce stress,exercise,eat healthy,get proper sleep,"Include iodine-rich foods, Consume selenium-rich foods, Stay hydrated, Include nutrient-rich foods, Limit processed foods, Consume foods rich in vitamins B and D, Consult a healthcare professional, Follow medical recommendations, Maintain a stable weight, Engage in regular exercise"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']",eat healthy,massage,use lemon balm,take radioactive iodine treatment,"Limit iodine intake, Consume cruciferous vegetables in moderation, Stay hydrated, Include nutrient-rich foods, Limit caffeine and alcohol, Include omega-3 fatty acids, Consult a healthcare professional, Follow medical recommendations, Maintain a stable weight, Engage in regular exercise"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']",lie down on side,check in pulse,drink sugary drinks,consult doctor,"Consume complex carbohydrates, Include protein-rich foods, Stay hydrated, Limit sugary foods and beverages, Consume regular meals and snacks, Consult a healthcare professional, Monitor blood sugar levels, Follow medical recommendations, Engage in regular physical activity, Limit alcohol intake"
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']",acetaminophen,consult nearest hospital,follow up,salt baths,"Consume anti-inflammatory foods, Include omega-3 fatty acids, Consume antioxidant-rich foods, Stay hydrated, Limit processed foods, Include vitamin K-rich foods, Consult a healthcare professional, Follow medical recommendations, Engage in low-impact exercise, Maintain a healthy weight"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']",exercise,use hot and cold therapy,try acupuncture,massage,"Consume anti-inflammatory foods, Include omega-3 fatty acids, Consume antioxidant-rich foods, Stay hydrated, Limit processed foods, Include vitamin K-rich foods, Consult a healthcare professional, Follow medical recommendations, Engage in low-impact exercise, Maintain a healthy weight"
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.,"['Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin']","['Vertigo Diet', 'Low-Salt Diet', 'Hydration', 'Ginger tea', 'Vitamin D-rich foods']",NA,NA,NA,NA,NA
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']","['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Consume a balanced diet, Limit dairy and high-glycemic foods, Include antioxidants, Stay hydrated, Limit processed foods, Include zinc-rich foods, Consult a skincare professional, Practice good skincare hygiene, Limit sugary foods and beverages, Follow medical recommendations"
Urinary tract infection,Urinary tract infection is an infection in any part of the urinary system.,"['Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics']","['UTI Diet', 'Hydration', 'Cranberry juice', 'Probiotics', 'Vitamin C-rich foods']",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,"Stay hydrated, Consume cranberry products, Include vitamin C-rich foods, Limit caffeine and alcohol, Consume probiotics, Avoid spicy and acidic foods, Consult a healthcare professional, Follow medical recommendations, Maintain good hygiene, Limit sugary foods and beverages"
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches.","['Topical treatments', 'Phototherapy', 'Systemic medications', 'Biologics', 'Coal tar']","['Psoriasis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"Consume anti-inflammatory foods, Include omega-3 fatty acids, Include vitamin D analogues, Limit alcohol consumption, Stay hydrated, Consult a healthcare professional, Limit processed foods, Follow medical recommendations, Manage stress, Consider phototherapy under medical guidance"
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.,"['Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Ointments', 'Warm compresses']","['Impetigo Diet', 'Antibiotic treatment', 'Fruits and vegetables', 'Hydration', 'Protein-rich foods']",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,"Maintain good hygiene, Stay hydrated, Consume nutrient-rich foods, Limit sugary foods and beverages, Include foods rich in vitamin C, Consult a healthcare professional, Follow medical recommendations, Avoid scratching, Take prescribed antibiotics, Practice wound care"
